community_id,topic,count,percent
0,0_nato_putin_russia_territory,1974,0.08025368947432614
0,10_amendment_campaign_conservatives_liberals,741,0.030125625076228808
0,11_appeals_incidents_defended_hostile,3,0.00012196609342602757
0,12_nato_planned_regimes_mao,465,0.018904744481034273
0,13_obamacare_appointments_denials_medicare,356,0.014473309753221938
0,14_congressional_partisan_congress_presidential,334,0.013578891734764403
0,15_presidential_partisan_congress_presidents,274,0.011139569866243851
0,16_subjects_philosophy_valedictorian_educated,269,0.010936293043867139
0,17_reform_deterrence_rehabilitate_sentences,410,0.016668699434890435
0,18_immigration_immigrants_citizenship_technology,498,0.020246371508720575
0,19_conservatives_studies_liberals_statements,505,0.020530959060047975
0,1_boundaries_debt_finances_punishment,645,0.026222710086595925
0,20_congress_democrats_irs_fiscally,239,0.009716632109606863
0,21_increasing_crisis_regulations_shortages,266,0.01081432695044111
0,22_compromise_advance_slip_ppl,19,0.0007724519250315079
0,23_functioning_difficulties_behaviors_drugs,329,0.013375614912387689
0,24_development_tasks_technology_productivity,267,0.010854982314916453
0,25_oil_regret_oily_morning,34,0.0013822823921616457
0,26_utilities_privacy_unreasonable_holes,220,0.008944180184575354
0,27_titles_winning_fights_inferior,237,0.009635321380656177
0,28_societies_societal_nations_infrastructure,430,0.017481806724397284
0,29_dems_moderators_moderation_management,5,0.0002032768223767126
0,2_biased_debates_cited_statistics,2581,0.10493149571085905
0,30_hoarding_naming_caring_neglect,54,0.0021953896816684962
0,31_alice_cash_ops_unemployed,738,0.03000365898280278
0,32_consideration_farmed_empathy_pig,215,0.008740903362198642
0,33_yardagesardage_premiumplum_valuablehuge8913_appointment,999,0.04061470911086718
0,34_obligated_00_cash_tipping,178,0.007236654876610969
0,35_balances_checks_anarchy_lords,193,0.007846485343741107
0,36_chores_selfish_messages_advice,22,0.0008944180184575354
0,37_habits_encouraging_harassed_behaviour,3,0.00012196609342602757
0,38_violations_insecure_admittedly_challenged,358,0.014554620482172622
0,39_detention_prison_imprisonment_victims,171,0.006952067325283571
0,3_congress_presidency_democrats_dems,1531,0.0622433630117494
0,40_indifferent_wasted_scenarios_gridlock,219,0.008903524820100012
0,41_households_husband_mothers_mother,201,0.008171728259543846
0,42_abstain_abstaining_lazy_dislike,330,0.013416270276863032
0,43_meal_restaurant_dishes_dinner,119,0.00483798837256576
0,44_typing_violations_blocking_blocked,4,0.0001626214579013701
0,45_addictions_addiction_overdoses_drugs,206,0.00837500508192056
0,46_universes_travel_universe_awareness,553,0.022482416554864413
0,47_violence_forcible_description_tendencies,79,0.0032117737935520594
0,48_hardcore_racism_loyalty_morals,241,0.009797942838557549
0,49_violent_violence_rioting_streets,105,0.004268813269910965
0,4_expectations_roles_conversations_statistics,1329,0.05403097938773021
0,50_niche_progression_abilities_subscriptions,390,0.015855592145383582
0,51_housing_rent_healthcare_opportunities,572,0.023254868479895923
0,52_bereaved_cope_selfish_commit,602,0.024474529414156197
0,53_domestic_imposing_fed_recession,119,0.00483798837256576
0,54_discipline_owning_checks_bans,213,0.008659592633247956
0,55_damages_freeing_banned_owning,119,0.00483798837256576
0,56_treats_donate_fec_blm,301,0.012237264707078099
0,57_caregiver_themissingpremise_1lvlss1_banning,499,0.020287026873195918
0,5_sharia_violence_evangelicals_practices,928,0.03772817823311786
0,6_administration_president_deportations_obama,579,0.02353945603122332
0,7_democratic_democrats_dems_voting,724,0.029434483880147987
0,8_distrust_demanding_fraud_suspicions,332,0.013497581005813717
0,9_democrats_election_republicans_dems,270,0.010976948408342482
1,0_nato_putin_russia_territory,2,0.09523809523809523
1,10_amendment_campaign_conservatives_liberals,5,0.23809523809523808
1,12_nato_planned_regimes_mao,3,0.14285714285714285
1,17_reform_deterrence_rehabilitate_sentences,1,0.047619047619047616
1,19_conservatives_studies_liberals_statements,2,0.09523809523809523
1,27_titles_winning_fights_inferior,1,0.047619047619047616
1,2_biased_debates_cited_statistics,1,0.047619047619047616
1,35_balances_checks_anarchy_lords,1,0.047619047619047616
1,3_congress_presidency_democrats_dems,1,0.047619047619047616
1,46_universes_travel_universe_awareness,1,0.047619047619047616
1,5_sharia_violence_evangelicals_practices,3,0.14285714285714285
2,0_nato_putin_russia_territory,715,0.09401709401709402
2,10_amendment_campaign_conservatives_liberals,171,0.022485207100591716
2,12_nato_planned_regimes_mao,72,0.009467455621301775
2,13_obamacare_appointments_denials_medicare,120,0.015779092702169626
2,14_congressional_partisan_congress_presidential,266,0.03497698882314267
2,15_presidential_partisan_congress_presidents,358,0.04707429322813938
2,16_subjects_philosophy_valedictorian_educated,47,0.006180144641683104
2,17_reform_deterrence_rehabilitate_sentences,61,0.00802103879026956
2,18_immigration_immigrants_citizenship_technology,99,0.01301775147928994
2,19_conservatives_studies_liberals_statements,52,0.006837606837606838
2,1_boundaries_debt_finances_punishment,44,0.005785667324128862
2,20_congress_democrats_irs_fiscally,171,0.022485207100591716
2,21_increasing_crisis_regulations_shortages,173,0.022748191978961208
2,22_compromise_advance_slip_ppl,5,0.0006574621959237344
2,23_functioning_difficulties_behaviors_drugs,21,0.0027613412228796844
2,24_development_tasks_technology_productivity,23,0.0030243261012491782
2,25_oil_regret_oily_morning,4,0.0005259697567389875
2,26_utilities_privacy_unreasonable_holes,33,0.004339250493096647
2,27_titles_winning_fights_inferior,9,0.001183431952662722
2,28_societies_societal_nations_infrastructure,79,0.010387902695595003
2,2_biased_debates_cited_statistics,570,0.07495069033530571
2,30_hoarding_naming_caring_neglect,3,0.0003944773175542406
2,31_alice_cash_ops_unemployed,226,0.029717291255752794
2,32_consideration_farmed_empathy_pig,11,0.0014464168310322155
2,34_obligated_00_cash_tipping,24,0.003155818540433925
2,35_balances_checks_anarchy_lords,198,0.02603550295857988
2,36_chores_selfish_messages_advice,1,0.00013149243918474687
2,38_violations_insecure_admittedly_challenged,1,0.00013149243918474687
2,39_detention_prison_imprisonment_victims,64,0.0084155161078238
2,3_congress_presidency_democrats_dems,1265,0.1663379355687048
2,40_indifferent_wasted_scenarios_gridlock,199,0.02616699539776463
2,41_households_husband_mothers_mother,9,0.001183431952662722
2,42_abstain_abstaining_lazy_dislike,275,0.03616042077580539
2,43_meal_restaurant_dishes_dinner,9,0.001183431952662722
2,45_addictions_addiction_overdoses_drugs,10,0.0013149243918474688
2,46_universes_travel_universe_awareness,64,0.0084155161078238
2,47_violence_forcible_description_tendencies,63,0.008284023668639054
2,48_hardcore_racism_loyalty_morals,245,0.032215647600262985
2,49_violent_violence_rioting_streets,75,0.009861932938856016
2,4_expectations_roles_conversations_statistics,57,0.007495069033530572
2,50_niche_progression_abilities_subscriptions,34,0.004470742932281394
